Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-10000,2025-05-21,2025-05-26,Second Class,Consumer,East,Virginia,Office Supplies,Paper,21.64,3,0.1,4.11
ORD-10001,2023-09-10,2023-09-13,First Class,Home Office,Central,Wisconsin,Office Supplies,Art,45.68,4,0.15,6.62
ORD-10002,2025-04-11,2025-04-17,Standard Class,Corporate,West,Oregon,Office Supplies,Fasteners,24.5,6,0.0,6.86
ORD-10003,2024-07-18,2024-07-25,Standard Class,Corporate,West,Oregon,Furniture,Bookcases,1362.2,2,0.0,163.46
ORD-10004,2025-10-22,2025-10-29,Standard Class,Consumer,Central,Michigan,Furniture,Chairs,566.7,2,0.15,-8.5
ORD-10005,2025-03-26,2025-04-01,Standard Class,Corporate,East,Pennsylvania,Technology,Copiers,22656.88,6,0.3,-1132.84
ORD-10006,2025-02-02,2025-02-09,Standard Class,Consumer,West,Nevada,Office Supplies,Paper,140.57,8,0.0,39.36
ORD-10007,2025-12-22,2025-12-28,Standard Class,Consumer,East,New York,Furniture,Bookcases,2298.94,4,0.0,275.87
ORD-10008,2025-02-18,2025-02-23,Second Class,Corporate,West,Oregon,Technology,Machines,3671.03,7,0.3,-183.55
ORD-10009,2025-10-25,2025-10-30,Second Class,Corporate,West,Arizona,Technology,Phones,2628.41,7,0.2,105.14
ORD-10010,2024-07-17,2024-07-23,Standard Class,Corporate,West,Oregon,Furniture,Bookcases,2087.56,8,0.15,-31.31
ORD-10011,2024-07-31,2024-08-07,Standard Class,Consumer,East,Virginia,Office Supplies,Art,266.0,7,0.0,74.48
ORD-10012,2023-07-09,2023-07-15,Standard Class,Consumer,South,Florida,Office Supplies,Art,108.72,3,0.0,30.44
ORD-10013,2024-11-14,2024-11-17,First Class,Consumer,East,New Jersey,Technology,Accessories,123.85,3,0.1,16.1
ORD-10014,2025-08-09,2025-08-15,Standard Class,Consumer,South,Florida,Office Supplies,Art,27.62,2,0.2,2.76
ORD-10015,2024-12-30,2025-01-06,Standard Class,Consumer,West,Washington,Office Supplies,Binders,234.95,6,0.0,65.79
ORD-10016,2025-09-08,2025-09-14,Standard Class,Consumer,Central,Michigan,Office Supplies,Fasteners,41.84,4,0.5,-7.11
ORD-10017,2023-05-27,2023-06-03,Standard Class,Consumer,South,Florida,Office Supplies,Storage,467.72,3,0.0,130.96
ORD-10018,2023-05-31,2023-06-06,Standard Class,Home Office,Central,Michigan,Office Supplies,Binders,41.51,1,0.0,11.62
ORD-10019,2023-09-11,2023-09-18,Standard Class,Consumer,South,North Carolina,Technology,Copiers,4519.41,2,0.5,-1039.46
ORD-10020,2024-09-19,2024-09-25,Standard Class,Consumer,Central,Ohio,Office Supplies,Storage,1301.73,6,0.2,130.17
ORD-10021,2025-05-27,2025-06-01,Second Class,Home Office,South,Tennessee,Furniture,Chairs,568.87,1,0.0,68.26
